cat,freq,n-grams
problema,24,robertaschuler diariogaucho br
policia,24,grupo
policia,24,ligar
policia,24,mil
policia,24,novo
policia,24,roubar
policia,24,sair
novidades,24,aline
novidades,24,antes
novidades,24,doar
novidades,24,grupo
novidades,24,manha
novidades,24,valor
esportes,24,atuacao
esportes,24,grupo
esportes,24,mundo
esportes,24,sul
trabalhador,23,oferecer
trabalhador,23,setembro
problema,23,aposentado
problema,23,entanto
problema,23,meio
policia,23,bando
policia,23,maio
policia,23,nao ser
novidades,23,centro
novidades,23,chuva
novidades,23,municipio
esportes,23,acontecer
esportes,23,casa
esportes,23,minuto
esportes,23,novo
esportes,23,perder
esportes,23,pouco
esportes,23,saber
esportes,23,torcida
trabalhador,22,CAREN
trabalhador,22,CAREN CECILIA
trabalhador,22,CECILIA
trabalhador,22,tambem
problema,22,alvorar
problema,22,lugar
problema,22,vila
policia,22,cidade
policia,22,duplo
policia,22,ferir
policia,22,final
policia,22,informar
policia,22,ir preso
policia,22,menino
policia,22,querer
policia,22,quinta
policia,22,ultimo
novidades,22,apresentar
novidades,22,momento
novidades,22,nova
novidades,22,previsao
novidades,22,problema
novidades,22,roupa
novidades,22,segunda
novidades,22,servico
novidades,22,vaga
esportes,22,bem
esportes,22,menos
esportes,22,ontem
esportes,22,ponto
trabalhador,21,ferias
trabalhador,21,ja
trabalhador,21,selecao
problema,21,assim
problema,21,dono casa
problema,21,outubro
problema,21,praca
policia,21,ano passar
policia,21,entrar
policia,21,mes
policia,21,pe
policia,21,roubo
policia,21,segunda
policia,21,sexta feira
novidades,21,bom
novidades,21,cerca
novidades,21,conhecer
novidades,21,creche
novidades,21,grande
novidades,21,inicio
novidades,21,maio
novidades,21,melhor
novidades,21,menino
novidades,21,moto
novidades,21,ontem
novidades,21,quase
novidades,21,seguir
novidades,21,sempre
novidades,21,ultimo
novidades,21,via
esportes,21,bom
esportes,21,deixar
esportes,21,dia
esportes,21,enfrentar
esportes,21,ver
esportes,21,vir
trabalhador,20,CAREN CECILIA baldo
trabalhador,20,CECILIA baldo
trabalhador,20,CECILIA baldo diariogaucho
trabalhador,20,categoria vaga
trabalhador,20,julho
trabalhador,20,mes
trabalhador,20,www
problema,20,acordo
problema,20,agora
problema,20,cerca
problema,20,porto
problema,20,poste
problema,20,tempo
policia,20,agente
policia,20,caminhao
policia,20,contar
policia,20,encaminhar
policia,20,explicar
policia,20,identificar
policia,20,investigacao
policia,20,irmao
policia,20,medo
policia,20,pedir
policia,20,presos
novidades,20,16h25
novidades,20,agora
novidades,20,diferente
novidades,20,encontrar
novidades,20,esperar
novidades,20,gaucho
novidades,20,media
novidades,20,mercado
novidades,20,periodo
novidades,20,programa
novidades,20,pronto
novidades,20,realizar
novidades,20,responsavel
novidades,20,seguranca
novidades,20,social
esportes,20,agora
esportes,20,empate
esportes,20,gremista
esportes,20,historia
esportes,20,maior
trabalhador,19,abrir
trabalhador,19,ainda
trabalhador,19,enviar
trabalhador,19,salario
trabalhador,19,trabalhador
problema,19,abrir
problema,19,agosto
problema,19,ali
problema,19,avaliar
problema,19,mae
problema,19,onde
problema,19,parada
problema,19,pedestres
problema,19,placa
